,Title,Description,IS_Scam
8949,Production Engineer,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions' Assembly and Test Engineering Team based in Houston is responsible for first level Engineering Support for our complex Subsea Control modules and peripheral equipment. As part of that support, the team are heavily involved in Cap Ex projects to enhance and improve our working practices and procedures within Manufacturing. We need an experienced Produduction Engineer with a multidisciplined background, andt someone who has a good understanding of process improvement, FMEA and Capital Expenditure Project delivery. This is a key role for this business area as we looked to develop the overall team in driving improvement to increase, yield, productivity and on-time delivery of our products.Responsibilities and tasks:• To map, perform gap analysis, and propose and implement improvements to existing manufacturing practices, processes, tooling and equipment, thereby improving quality and reducing lead times.• To perform scope feasibility, define specification, raise CapEx and project manage new production equipment and tooling. • To liaise with third party vendors on the specification, design and build of new tooling and equipment, and the modification of existing.• To create and/or support the creation of manufacturing process and equipment work/operating instructions. • To support the maintenance department in defining maintenance requirements for both new and existing tooling and equipment.• To provide support to other Aker company sites with regards to cross-site tooling and equipment, and process standardisation.• To work closely with all other engineering support departments on all areas of electro-mechanical / hydraulic engineering from initial concepts through to final build.• To support both Operations and Engineering in the issuing of method improvement statements.• To actively participate in all continuous improvement activities that support improvement in production and product build areas.• To support audit processes both internally and externally at vendors, customers or third party companies.",1
9059,Executive Chef,"Responsible for all food production including that used for restaurants, banquet functions and other outlets. Develop menus, food purchase specifications and recipes. Supervise staff. Develop and monitorfood and labor budget for the department. Maintain highest professional food quality and sanitation standards. Duties &amp; Responsibilities:    * Plans menus for all food outlets in the Hotel.    * Schedules and coordinates the work of chefs, cooks and other kitchen employees to assure that food preparationis economical and technically correct and within budgeted labor cost goals.    * Approves the requisition of products and other necessary food supplies.    * Ensures that high standards of sanitation, cleanliness and safety aremaintained throughout all kitchen areas at all times.    * Establishes controls to minimize food and supply waste and theft.    * Safeguards all food preparation employees by implementing training to increase their knowledge about safety, sanitation and accident preventionprinciples.    * Develops standard recipes and techniques for food preparation and presentation which help to assure consistently high quality and to minimize food costs; exercises portion control for all items served and assists in establishing menu selling prices.    * Prepares necessary data for applicable parts of the budget; projects annual food, labor and other costs and monitors actual financial results; takes corrective action as necessary to help assure that financial goals are met.    * Attends food and beverage staff and management meetings.    * Consults with the Food &amp; Beverage Director about food production aspects of special events being planned.    * Cooks or directly supervises the cooking of items that require skillfulpreparation.    * Ensures proper staffing for maximum productivity and high standards of quality; controls food and payroll costs to achieve maximum profitability.    * Evaluates food products to assure that quality standards are consistently attained.    * Interacts with food and beverage ma nagement to assure that food production consistently exceeds the expectations of members and guests.    * In conjunction with F&amp;B management team, assist in maintaining a high level of service principles in accordance with established standards.",1
9088,Mobile Developer-Back End,"Managing over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than   3 million daily weather measurements, we are one of the largest users of Amazon Web Services.Today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather.  At the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements.  This platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. We are leaving a mark on the world in our DNA; we want to make a lasting and meaningful real-world impact.  We relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve.  We also thrive on finding the possible in the impossible.If you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you.Mobile Developer - Back EndWe are looking for experienced Ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers.What You Will Do:Write highly scalable and robust RESTful APIs to empower our mobile applications.Work closely with the iOS and Android team to ensure seamless integration with the back end.Opportunity to learn new technologies and frameworks.  ",1
9090,Executive Sous Chef,"Responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotels continuing effort to deliver outstanding guest service and financial profitability.As Executive Sous Chef, you would be responsible for assisting in the direction and administration of the planning, preparation, production and control of all culinary operations in the hotel's continuing effort to deliver outstanding guest service and financial profitability. Specifically, you would be responsible for performing the following tasks to the highest standards:Assist the Executive Chef in the direction and oversight of all culinary operations, to include, but not limited to, preparation and production of all hotel meals, food quality and presentation, compliance with all safety and sanitation standards and regulation, team member productivity and performance, implementation of policies and procedures, cost controls and overall profitabilityAssist the Executive Chef by interacting with guests and clients to monitor and assess satisfaction trends, evaluate and address issues and make improvements accordinglyAssist the Executive Chef in creating and implementing menu selections for special banquet themes and events based on current food trends and regional tastes in partnership with the Executive Chef and Director of Food and Beverage, as neededEnsure compliance with federal, state, local and company health, safety, sanitation and alcohol awareness standardsMonitor and develop team member performance to include, but not limited to, providing supervision, conducting counseling and assisting with evaluations, training, scheduling and assigning work and delivering recognition and reward",1
9096,Restaurant Manager - Le Meridien KL,"Restaurant managers ensure that restaurants operate efficiently and profitably whilemaintaining their reputation and ethos. They must coordinate a variety ofactivities, whatever the size or type of the outlet. Managers are responsible forthe business performance of their restaurant, as well as maintaining high standardsof food, service, and health and safety.Restaurant management combines strategic planning, shift pattern organisation andday-to-day management activities. Depending on the nature of the outlet, the rolemay have creative aspects, particularly in marketing and business development.As a key role within the hospitality industry, restaurant management may befast-paced, highly demanding and very rewarding.",1
9098,Restaurant Manager,"Restaurant managers ensure that restaurants operate efficiently and profitably whilemaintaining their reputation and ethos. They must coordinate a variety ofactivities, whatever the size or type of the outlet. Managers are responsible forthe business performance of their restaurant, as well as maintaining high standardsof food, service, and health and safety.Restaurant management combines strategic planning, shift pattern organisation andday-to-day management activities. Depending on the nature of the outlet, the rolemay have creative aspects, particularly in marketing and business development.As a key role within the hospitality industry, restaurant management may befast-paced, highly demanding and very rewarding.",1
9103,Rooms Division Manager,"The Rooms Division Manager is responsible for Executive Housekeeping and FrontOffice. He/she manages the general operation of the Front Office e.g. Reception,Reservations, Concierge, Switchboard and Night Manager.A Rooms Division Manager is directly reporting to the General Manager or the DeputyManager. The position’s main duties are divided in spot checking of hotel rooms toensure standards, authorizing all leave schedules or ensuring control ofexpenditures as well as budgets set. A RDM attends weekly executive and salesmeetings as well as the General Manager’s briefings with Front Office andHousekeeping.For that a Rooms Division Manager needs clear, concise written and verbalcommunication skills at his/her disposal, as well as strong organizational,excellent time management skills and technical skills.",1
9111,Director of Engineering | Applications,"Director of Engineering | Applications | San Francisco, CAOur team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best product possible product and experience for our #URL_7a887988d8390684a7285e6db8b8422abc28a490e39cff05706d2b63ebd11fda# you will do:Lead and inspire a team of world-class engineersDrive cross-functional collaboration with the Product, Design, and Reliability teams to build high quality, robust products. These core products enable our customers to make critical business operations and risk management decisions with clarity and comfort.Motivate and provide necessary tools for engineers to work with the confidence to create simple solutions to complex problems.Leverage massive datasets that power the advanced technologies to make a real world difference.Fearlessly drive an efficient and effective Agile software development process to manage a deep backlog and launch iteratively developed products.Ensure stability of the product through robust, scalable and fault tolerant software development practicesAct as an active source of engineering talent and work with recruiting teams to build and scale the future of engineering.Align the team’s goals and objectives towards the “Bigger Picture” o ",1
9115,Mobile Developer-Back End ,"Our mission is to help all the world’s people and businesses manage and adapt to climate change.  To achieve our mission, we have built a unique technology platform to enable, for the first time, the real-time pricing and purchasing of customizable weather insurance.  Managing over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than   3 million daily weather measurements, we are one of the largest users of Amazon Web Services. Today we are focused on helping farmers protect and increase their profits in the face of increasingly extreme weather.  At the heart of the company is our unique technology platform, which encompasses our core competencies across weather monitoring, agronomic modeling, and weather simulation, and accounts for over 200 TB of data, including 34 trillion+ weather simulation data points, 150 billion soil type observations, and more than 3 million daily weather measurements.  This platform powers the company’s portfolio of technology-based products and services, which are revolutionizing agricultural risk management and farm management. We are leaving a mark on the world in our DNA; we want to make a lasting and meaningful real-world impact.  We relish big problems because they are the most interesting to tackle, the most rewarding, and typically the most valuable to solve.  We also thrive on finding the possible in the impossible.If you are the best at what you do, you like solving interesting problems, and you are looking for like-minded people dedicated to having a major impact on the world, we are eager to talk with you.Mobile Developer - Back EndThe Climate Corporation is looking for experienced Ruby developers to join our engineering team, focusing on building back end support for the development of mobile applications for growers. Responsibilities:What You Will Do:Write highly scalable and robust RESTful APIs to empower our mobile applications.Work closely with the iOS and Android team to ensure seamless integration with the back end.Opportunity to learn new technologies and frameworks.  What We Offer:Our team is composed of some of the most brilliant interdisciplinary minds in the industry. The environment is extremely engaging and fast-paced, with dozens of specialties coming together to provide the best possible product and experience for our customers. Competitive salary, excellent benefits, and some of the best perks in the industry, including: We provide meals and a large assortment of snacks, drinks, fruits, coffees, and teas to help you get through the day. We let you explore personally compelling topics by occasionally taking time to work on independent projects and contributing the results back to the open source community.  Company sponsored outings, including go-kart races, kayaking, holiday yacht parties, and sporting events, etc. We sponsor hackathons, meetup groups, networking events, tech-talks, and conference trips. If you want to get involved in the tech community, we'll support your efforts. We encourage all employees to better understand our customers by getting out of the office and hearing firsthand from the agents and farmers our products serve. Energetic idea-driven work environment with an exciting culture. Exciting world-changing opportunity - we are solving problems that have a massive impact on the world! A driven, talented team that aims to make a large-scale impact through an innovative technology platform.",1
9117,Business Operations Associate,"Business Operations AssociateThe Climate CorporationOverland Park, KS, United StatesFull-TimeWhat You Will Do:Develop and maintain a strong working knowledge of all Climate products and services, including federal crop insurance,  our private parametric insurance products, and our ag production software services, Climate Basic and Climate ProTriage questions, issues, feedback and documentation that is submitted to the support and underwriting teams to help streamline inbound volume and learn different aspects of the businessPerform data entry to support new and existing processesReview, process, and audit documents and supporting records associated with our insurance productsGather information and research issues to resolve customer, partner and fields sales inquiries (through email and phone)Learn and follow consistent customer care messaging guidelines and hone communication skillsIdentify opportunities to improve processes and operations",1
9138,Front-End/JavaScript Engineer,"Workable is a product-driven software company. With thousands of enterprise users and millions in venture funding, we're building the best recruiting software in the world. A frictionless, usable, robust and highly scalable product that helps companies find and meet great people. The quality, design and usability of our software is what sets us apart from the competition. It's good to be an engineer in a company that values good engineering above all.We have a team of remarkably talented and friendly developers, a strong engineering culture and a dogged emphasis on customer-centric design. We're working on all sorts of exciting areas of application development: web, mobile, infrastructure, performance, ui/ux design, integrations with dozens of web services, API development, modern front-end frameworks, scalability, video, natural language processing, data science and usability engineering. Agile methodology and test-driven development are not things we read about in blogs, it's what we do every day.Our technology stack consists of a Rails app and a Java app running PostgreSQL and HBase DB on the Heroku and AWS. Our MVC architecture relies on REST APIs to connect internal building blocks and external systems. Some of the development and platform tools we use include jQuery, Backbone, Websolr, Redis, Braintree, Papertrail, New Relic and Mailgun.We're looking for developers in all fields of SaaS application development. We have several teams working on different areas from the core application to mobile/tablet applications, integrations, natural language processing, data science and video technology. We will find the right team for you depending on your skills and technology interests.We invest in training junior engineers (you will learn from the best) and re-training experienced developers in the technology stack we use. If you're an exceptionally good engineer who wants to work in a world-class software company, you're in the right place.",1
9257,CAD Operator,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions is a leading global oil services company that provides engineering and construction services, technology, products and field-life solutions for the oil &amp; gas industryOur Business very much depends on our people; all our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.MMO based in Aberdeen, have excellent opportunities for talented individuals who can strengthen our team and support our ambitious growth plans within the engineering, construction, maintenance, modification and operations market.We are currently looking for a CAD Operator [ Close-out ]Responsibilities and tasksTo operate computer-aided design (CAD) system and produce clear and technically accurate drawings based on the specification presented.Follows all relevant engineering procedures and instructions to insure that work is carried out in a controlled and consistent mannerFollows day-to-day operations relating to own jobs to ensure continuity of workDrawings and diagrams: Preparation, back-drafting, updating and as-building as per discipline requirements and good engineering practices.Liaise with Close Coordinator Team Lead to provide accurate delivery datesWorks to own initiative to decide best layout solutionsAdapts existing drawings to incorporate project changes demonstrating accuracy and thoroughnessMeets productivity standards and completes work in a timely mannerUnderstand Process, Electrical, Instrumentation diagrams. Ability to use Microsoft Office, Word, Excel.Looks for ways to improve and promote qualityApplies feedback to improve drawing office deliverablesMonitors own work to ensure qualityApplies creative solutions and translates concepts and information onto drawings. Uses intuition, discipline knowledge and experience to modify designsConform to client drawing/document production as covered by PEM and BS EN ISO 9001Understands and utilises the Aker management system (AKIMS) to the required level",1
9263,IC&E Technician ,"Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required. ",1
9356,Offshore Wellhead Technician,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions Houston (ASH) is established for the purpose of creating value for clients and owners by providing superior customer service to operators within the oil and gas industry. Superior customer service will be achieved through continual improvement, leadership involvement, demonstration of initiative, proactive anticipation of client demands, diligent attention to detail, and an effective HSE program designed to identify, report, and prevent unwanted conditions. ASA shall be a good corporate citizen acting in line with the interests of the US Authorities and the general public.Responsibilities and tasksObjectives:Ensure the preparation, planning and execution of operations to be performed either by Aker Solutions Houston or by subcontracted staff in the offshore team.Responsibilities/Activities:Operations:• Organise and perform offshore operations on-site.• Ensure that all maintenance and repair on facilities and equipment is carried out safely, efficiently and in full compliance with company operating procedures and statutory laws so that they remain in perfect and safe working conditions.• Review and maintain installation procedures.• Carry out other activities as designated by the line manager.• Conduct any activity within the scope of the post holder’s competences.• In the event of a system failure, take charge of systems for which the post holder is responsible until normal operation is restored.Team Coordination:• Work with the team to assist specialized staff working offshore.• Manage and participate in the installation of equipment delivered by Aker Solutions Houston.• Coordinate all team employees, including sub-suppliers, where appropriate.• Be present at shift-change meetings.• Maintain good customer communication.• Ensure daily communications with Onshore Operations.• Manage the team of technicians for which the post holder is responsible.Administrative Activities:• Write reports in accordance with the procedure reports.• Record offshore activities on the applicable form, including the completion of the following forms as needed: Meeting report &amp; Incident report.• Update and archive all reports in binders provided by Aker Solutions Congo Onshore Support (to be delivered to Aker Solutions Houston once the installation is concluded).• Ensure that time sheets are signed by the customer before team members leave the platform.• Ensure that overtime has been authorised by the customer and recorded on the time sheets.• Establish a convenient time with the customer for trainees to work offshore (this should be coordinated with the line manager).Qualifications &amp; personal attributes• Vocational training as a minimum. • 5 to 10 years’ offshore work experience.• Fluent in English and knowledge of French would be an advantage• User-level IT skills.",1
9511,QC Inspector,"Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions is a leading global provider of engineering and technology, products and service solutions to the Oil &amp; Gas industry.At Aker Solutions we offer an ocean of opportunities. Our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. We are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities.All our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.Responsibilities and tasksGoods in QC inspection:• Approves incoming materials by confirming specifications; conducting visual and measurement tests; rejecting and returning unacceptable materials.• Documents inspection results by completing reports and logs.• Maintains safe and healthy work environment by following standards and procedures; complying with legal regulations. • To work at all times to the Company’s Quality Management System.• To complete all applicable activities identified within the department work packs and purchase orders.• Ensure all calibrated equipment used within the test and inspection process is within calibration date and rated for the work activities.• Play a pro-active role in housekeeping and continuous improvement initiatives.As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility, when required.",1
9746,Lawn and Maintenance Contractors ,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9748,Lawn and Maintenance Contractors ,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9749,Lawn and Maintenance Contractors ,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9751,Lawn and Maintenance Contractors ,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9753,Property Preservation Field Crews,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9756,Property Preservation Field Crews,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9757,Property Preservation Field Crews,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9760,Property Preservation Field Crews,We are looking for a contractors/individual who can perform general maintenance and repairs on residential properties. Work may include but no limited the following: - Grass Cuts - General Repairs / Perform per bid approvals - Trash Outs (Debris Removal) - Eviction Services - Initial Secures/Securing (replacing locks) - Winterizations - Boarding - Mold Remediation - Cash for Keys - Janitorial Cleaning of home interior,1
9823,Health + Safety Professional,"Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters. Health &amp; Safety Professional | Bakersfield, CAThis position monitors, analyzes, recommends, and implements systems to improve integration of safety compliance and business success through interactions at the employee and supervisor levels. This position is part of the HSE team, and requires a person that is team oriented, and someone who is looking to share their knowledge while seeking new opportunities within and outside of the safety specialty.Work Environment;This position works primarily in a field environment supporting operations, drilling, production, and construction. The working conditions for this position vary and maybe hazardous and or unpleasant at times. The individual filling this position will be exposed to weather and temperature extremes, dust, oil, and other environmental factors. The person that fills this position must have a core belief that safety’s and production’s success are linked.",1
9831,Plant Operator," Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered.  Thank you for your cooperation.  Please no recruiters. JOB DESCRIPTIONWe are adding a Plant Operator to our client's Bakersfield Operational team.  Primary job duties include providing operational, technical, troubleshooting, and surveillance support for all producing oil wells, oil treating, , water softening/disposal, steam generation facilities and CVR systems for oil field operations located near Bakersfield CaliforniaA typical day on the job will most likely entail the following duties:Dehydrate produced oil too sub 3% BS&amp;W. Identifying production process problems and taking safe corrective actions in order to meet business targets and HSE goals. Assist in the preparation for repair, installation and maintenance of typical oilfield production. Create job plans and execute jobs safely and on time. Experience in operation/trouble-shooting of typical oilfield production equipment and systems. Knowledge of safety procedures and practices for working in a hydrocarbon environment. Strong communication skills with the ability to accomplish assigned tasks within a reasonable time frame. Effective interpersonal and strong team work skills. Manage maintenance crews and contractors when building, fixing equipment on location. Noticing problems or potential problems, diagnosing and developing plan to fix problem. Diverting flow and isolating lines for equipment tie in or maintenance. Enforcing safety policies. Writing permits to allow safe work. Maintain steam and water flood targets. Softening and cleaning produced water before sending to steam generators. Functional computer and software skills to include MS Office Suite (Especially Excel) and SCADA. Collecting plant readings and producing daily/weekly reports.Standard Duties/Responsibilities:•Operate oil treating, water treating/disposal, steam generation and distribution, vapor recovery facilities.•Operate oil wells, AWT and well testing tanks, vapor recovery system.•Monitor safe operations utilizing the SCADA systems and onsite surveillance. This includes taking readings, testing fluids and piping and valve alignment reviews and adjustments.•Insure compliance with all company and government safety, environmental and health rules and regulations. ",1
9833,Director of Technical Operations,"Qualified candidates are encouraged to apply directly to this job posting.  Direct email and phone calls are not being considered. Thank you for your cooperation.  Please no recruiters.  Director of Technical Operations | New York, NYDirector of Software Engineering's newly forming New York development team, you will be a “player-coach” who will contribute to and drive high-level architecture and planning, manage day-to-day issues, as well as roll up your sleeves and code when necessary.Responsibilities:  Inspire, mentor and lead our superb 30+ person engineering team using your experience and deep understanding of both leading-edge technologies and of motivation and leadership;Drive the aggressive growth and organization of Software Engineering as we double in size again over the next year;Contribute new technical insights and help decide design directions, while preserving the core cultural values that define #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# Engineering today, including: high level of personal performance; mutual trust; taking personal responsibility; flat &amp; informal organization; integrity; and a mutually supportive environment.",1
9834,Director of Product Management,"Director, Product Management | San Mateo, CASan Mateo, CA, United States Seeking a talented and experienced Director of Product Management to lead the design of key components of an advanced platform for video advertising. Great for a senior product leader who thrives off chalenges, builds industry-changing products, and can lead a team. The product team is a small group of smart, creative, and disciplined professionals that are eager to master challenging projects and respond well to mentorship and are accustomed to operating under a lean startup environment and practice lean software development. We labor over every product prioritization decision, and we believe in building minimal viable products. Build, measure and learn!Job Responsibilities:Build expertise of the current structure and dynamics of the digital video advertising industry, and develop a point of view about market trends and emerging opportunities.Meet frequently with customers, potential customers, and partners - to develop a deep understanding of their current business processes and product needs.Develop a comprehensive vision and roadmap for product, or suite of products. Build alignment among internal and external stakeholders around this vision. Set aggressive goals for execution, and chart progress.Lead your team of product managers to develop designs that address needs and requirements expressed by internal and external customers. Designs should be simple, minimal, extensible, consistent with existing functionality, and easy to use.  Work with UX designers and engineers to continuously deliver new functionality, in a way that is seamlessly integrated into robust infrastructure and a beautiful user interface.Attract, hire, inspire, and grow a team of superstar product managers.  ",1
9841,Client Services Manager - SM1,"Client Services Manager - SM1San Mateo, CA#URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# is leading the way with technology that's evolving with the changing media landscape, not against it. Description The Client Services Manager will be assigned to specific accounts and be responsible for the successful and on-time execution campaigns running on the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# platform. From setting up and moderating Kick-Off-Calls through ensuring billing is complete, the campaign manager is the primary owner of the successful execution campaigns from assigned accounts. The Client Services Manager will work with media agencies and publishers as well as Account Directors and Sales Directors in the region to ensure that campaigns meet and exceed client’s expectations. The Client Services Manager may manage a coordinator, back-up Client Services Manager peer, or handle certain clients’ work on a one-off basis. Key responsibilities include:Maintaining strong communication and manage expectations with clients, account directors and sales to keep all stakeholders informed of campaign statusExecuting and/or ensuring that process is executed on every assigned campaign, in some cases by delegating campaign tasks to Campaign Coordinator, Ad-Operations or back-up Client Services ManagerTroubleshooting and solving common technical problems, and address client issuesMonitoring campaign performance to client’s objectives and make optimization as necessaryMaintaining and expanding client relationships; notifying stakeholders about future business opportunitiesDeveloping and maintaining expert level proficiency in the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# tool set",1
9842,"Client Services Manager NY, NY 1","#URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# is leading the way with technology that's evolving with the changing media landscape, not against it. Description The Client Services Manager will be assigned to specific accounts and be responsible for the successful and on-time execution campaigns running on the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# platform. From setting up and moderating Kick-Off-Calls through ensuring billing is complete, the campaign manager is the primary owner of the successful execution campaigns from assigned accounts. The Client Services Manager will work with media agencies and publishers as well as Account Directors and Sales Directors in the region to ensure that campaigns meet and exceed client’s expectations. The Client Services Manager may manage a coordinator, back-up Client Services Manager peer, or handle certain clients’ work on a one-off basis. Key responsibilities include:Maintaining strong communication and manage expectations with clients, account directors and sales to keep all stakeholders informed of campaign statusExecuting and/or ensuring that process is executed on every assigned campaign, in some cases by delegating campaign tasks to Campaign Coordinator, Ad-Operations or back-up Client Services ManagerTroubleshooting and solving common technical problems, and address client issuesMonitoring campaign performance to client’s objectives and make optimization as necessaryMaintaining and expanding client relationships; notifying stakeholders about future business opportunitiesDeveloping and maintaining expert level proficiency in the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# tool set",1
