Title,Company,Location,Stipend,Duration,Description,IS_Scam
N/A,N/A,N/A,N/A,N/A,N/A,0
Human Resources (HR),Advantech Industrial Computing India Private Limited,"Pune, Bangalore","₹ 3,000 - 11,001 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist in sourcing, screening and scheduling interviews
2. Support onboarding and employee induction
3. Help plan and organize employee engagement activities
4. Maintain employee records and update the HR management system/Filing
5. Assist with training coordination and tracking
6. Perform general HR administrative tasks
7. Prepare & maintain HR Dashboards
If relevant share your Cv to 9538888280",0
Operations & Admin (EdTech/Online Tutoring Business),SAGE LEARNING,Work from home,"₹ 5,000 - 12,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist with scheduling online classes and managing calendar invites
2. Maintain and update student and tutor records in Excel/Google Sheets
3. Draft professional communication to tutors, parents, or clients
4. Help with content preparation for social media (e.g., creating reels, simple posts in Canva)
5. Collect and organize feedback from students and parents
6. Assist with data entry and daily operational tasks
7. Help in screening tutor applications and coordinating demo classes
8. Generate simple reports as required for management review",0
CAD Design,Mevlana Technologies Private Limited,"Delhi, Gurgaon                                                                (Hybrid)","₹ 10,000 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Develop detailed 3D CAD models and 2D manufacturing drawings using tools like SolidWorks, Fusion 360, or similar.
2. Assist in design validation through simulations (stress, thermal, etc.) and prototyping.
3. Coordinate with Indian 3D printing and prototyping vendors to get parts fabricated, evaluate quality, and implement revisions.
4. Participate in regular design reviews, brainstorming sessions, and cross-functional meetings with electronics, embedded, and software teams.",0
Graphic Design,First Choice,Mumbai,"₹ 15,000 - 20,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Design creatives for social media (Instagram posts, reels, ads)
2. Develop packaging, labels, and merchandise mockups
3. Create visuals for emailers, banners, and WhatsApp marketing
4. Collaborate with content and marketing teams to create cohesive campaigns
5. Edit and enhance product photos (basic retouching, background editing, etc.)
6. Ensure brand consistency across all visual content
7. Stay updated on design trends, Instagram aesthetics, and what hooks",0
Video Editing/Making,UTILAIZ WORLD,Work from home,"₹ 2,500 - 5,000 /month",2 Months,"Are you passionate about creating captivating and visually stunning videos? Do you possess a keen eye for detail and a creative flair? If so, we have the perfect opportunity for you at UTILAIZ WORLD as a Video Editing/Making intern. 

Selected intern's day-to-day responsibilities include:

1. Edit and produce high-quality videos for various projects and campaigns
2. Utilise Adobe Premiere Pro, Adobe Photoshop, Adobe Illustrator, and Canva to enhance video content
3. Collaborate with the marketing team to brainstorm and execute video ideas
4. Ensure all videos are on-brand and align with the company's vision
5. Stay up-to-date with the latest trends in video editing and implement new techniques
6. Assist in creating engaging video content for social media platforms
7. Take initiative and propose innovative ideas for video projects

If you are ready to take your video editing skills to the next level and gain hands-on experience in a dynamic work environment, apply now to join our team at UTILAIZ WORLD.",0
Search Engine Optimization (SEO),Unified Sports,Delhi,"₹ 7,000 - 10,000 /month",6 Months,"Are you a savvy digital marketer looking to gain hands-on experience in the world of Search Engine Optimization (SEO)? Join our team at Unified Sports, a leading sports company, as an SEO intern! 

As our SEO intern, you will have the opportunity to work closely with our marketing team to optimize our online presence and increase our visibility on search engines. This role requires a strong understanding of SEO best practices, Google Analytics, Social Media Marketing, SEM, and Google AdWords. 

Key Responsibilities:
1. Conduct keyword research and analysis to identify new opportunities for organic traffic growth.
2. Optimize website content and metadata for improved search engine rankings.
3. Monitor and report on website performance using Google Analytics.
4. Assist in the development and implementation of SEO strategies.
5. Manage and optimize paid search campaigns through Google AdWords.
6. Collaborate with the social media team to align SEO and social media strategies.
7. Maintain a high level of English proficiency in all written communications. 

If you are a proactive individual with a passion for digital marketing and a drive to excel in the world of SEO, we want to hear from you! Join us at Unified Sports and take your SEO skills to the next level. Apply now!",0
VR Game Developer Unreal Engine,GameLoom,Work from home,"₹ 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Designing and implementing VR gameplay mechanics using Blueprints and/or C++ in Unreal Engine
2. Collaborating with the design and art team to integrate VR assets, animations, and environments
3. Testing and optimizing VR interactions for performance, comfort, and usability on target hardware
4. Assisting in developing user interfaces and immersive experiences suitable for VR
5. Debugging and resolving issues related to motion controllers, VR input, and physics-based interactions
6. Participating in regular team meetings, giving updates, and incorporating feedback into development
7. Researching and experimenting with new VR features, tools, and plugins in Unreal Engine",0
Business Development (Sales),Teleachievers E-Services Private Limited,Work from home,"₹ 5,000 /month",3 Months,"Selected Intern's Day-to-Day Responsibilities Include:

1. Calculate daily support and resistance levels for selected stocks, Nifty, and Bank Nifty to guide trading insights and decision-making. 
2. Reach out to clients via calls to promote trading-related services and onboard new users.
3. Maintain a customer tracking log, recording interactions, interests, and follow-up dates.
4. Update CRM systems to monitor customer stages, update information, and ensure data accuracy.
5. Learn continuously about financial markets   stocks, gold, and crypto   using company-provided resources to enhance market understanding.",0
Client Relationship Executive,Caimy Enterprises Private Limited,Kochi,"₹ 22,000 - 37,000 /month",4 Months,"Are you a communication rockstar looking to kickstart your career in client relations? Look no further! Caimy Enterprises Private Limited is seeking a dynamic client relationship executive intern to join our team. As a key player in our organization, you will have the opportunity to work closely with clients, build strong relationships, and ensure their needs are met. 

Selected intern's day-to-day responsibilities include:

1. Communicate effectively with clients through various channels such as email, phone, and in-person meetings.
2. Assist in the development and implementation of client communication strategies to enhance customer satisfaction.
3. Coordinate with internal teams to address client inquiries and resolve any issues in a timely manner.
4. Maintain accurate records of client interactions and transactions using our CRM system.
5. Collaborate with the sales team to identify opportunities for upselling and cross-selling our products and services.
6. Conduct market research to stay informed on industry trends and competitors.
7. Assist in the preparation of client presentations and reports to showcase our services and capabilities. 

If you are a proactive individual with excellent communication skills and a passion for building relationships, we want to hear from you! Join us at Caimy Enterprises and take the first step towards a successful career in client relations. Apply now!",0
Inside Sales,E-Tech Services Private Limited,"Faridabad, Delhi, Gurgaon, Noida","₹ 8,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Assist in managing and updating client information in our CRM system.
2. Support the sales team in generating leads and qualifying potential clients.
3. Prepare and analyze sales reports using MS-Office tools.
4. Collaborate with the marketing team to create sales materials and presentations.
5. Provide excellent customer service to our clients through phone and email communication.
6. Assist in organizing and attending sales meetings and events.
7. Work closely with the sales team to ensure sales targets are met and exceeded.",0
Full Stack Developer (Mern Stack),CogniAI Private Limited,Gurgaon                                                                (Hybrid),"₹ 15,000 - 20,000 /month",6 Months,"We're on the lookout for highly motivated and self-driven Full Stack Developer Interns (MERN Stack) who are excited to build the future of design with Phot.AI. This isn't your typical internship   we want doers who can take ownership, figure things out, and execute with minimal supervision. As an intern at Phot.AI, you'll get hands-on experience building real-world applications from the ground up using the MERN stack. You'll work on meaningful features, contribute to the overall architecture, and collaborate closely with our design and backend teams. You'll also be encouraged to adopt AI-assisted development tools (like Cursor, Claude, GitHub Copilot, etc.) and experiment with agentic AI workflows to boost productivity and innovation. If you're someone who's passionate about coding, quick to learn, and ready to shape the future of AI-powered design, we'd love to have you on board.

Selected intern's day-to-day responsibilities include:

1. Build and maintain full-stack features using MongoDB, Express.js, React.js, and Node.js.
2. Translate UI/UX designs into responsive, pixel-perfect, and performant web interfaces.
3. Design clean, scalable, and maintainable architecture for assigned tasks or components.
4. Write clean, reusable, and efficient code     and proactively refactor when needed.
5. Collaborate with design and backend teams to ensure smooth integration and excellent user experience.
6. Leverage AI-powered development tools (Cursor, Claude, Copilot, etc.) to accelerate coding, debugging, and documentation.
7. Use agentic AI workflows to automate repetitive tasks and enhance developer efficiency.
8. Take full ownership of tasks from start to finish     with minimal hand-holding.
9. Stay curious and updated with new technologies and AI trends in software development.
10. Participate in code reviews and contribute to best practices within the team.

Why Join Us:

At Phot.AI, you will have the opportunity to work with a talented and diverse team on cutting-edge technologies that are shaping the future of photography. We offer competitive compensation packages, comprehensive benefits and a collaborative work environment where your contributions are valued and recognized. If you are passionate about frontend development and want to be part of a dynamic team that is pushing the boundaries of visual technology, we would love to hear from you.
Phot.AI is an equal-opportunity employer and values diversity in the workplace. We encourage individuals of all backgrounds to apply.",0
Content Writing,HUNARMAND INDIA PRIVATE LIMITED,Pune,"₹ 8,000 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Create, edit, and proofread engaging content for blogs, websites, social media, emails, brochures, and other digital/print platforms.
2. Research industry-related topics to develop original content.
3. Collaborate with marketing, design, and SEO teams to align content with brand guidelines and business goals.
4. Monitor content performance and suggest improvements based on analytics.",0
Content and Social Media Marketing,Maniacult Technology Pvt Ltd,Delhi                                                                (Hybrid),"₹ 5,000 - 80,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1.  Ideate content themes around Rawcult's brand messaging, retailer success stories, industry gaps, and startup behind-the-scenes.
2.        Script videos for social media (YouTube Shorts, Instagram Reels, LinkedIn, etc.), including daily vlogs, informative explainers, and storytelling series.
3.      Shoot content on-camera - from solo monologues to casual interviews with retailers or team members.
4.         Create content that highlights retailer challenges, Rawcult's impact, and fast fashion's future in local retail.
5.      Analyze content performance and iterate ideas for higher engagement and brand consistency.",0
Recruitment,HRS Navigation (Happy Reliable Surgeries Private Limited),Bangalore,"₹ 8,000 - 15,000 /month",2 Months,"Are you a dynamic individual with a passion for recruitment and a strong proficiency in MS Office and English communication skills? Happy Reliable Surgeries Private Limited is seeking a recruitment intern to join our team! 

Selected intern's day-to-day responsibilities include:

1. Assist with resume screening and the candidate selection process
2. Coordinate and schedule interviews with potential candidates
3. Conduct initial phone screenings to assess candidate qualifications
4. Utilize MS Excel to track and manage candidate data
5. Provide administrative support to the recruitment team
6. Collaborate with hiring managers to understand recruitment needs
7. Assist in maintaining the recruitment database and updating candidate profiles

If you are a detail-oriented individual with excellent organizational skills and a desire to learn about the recruitment process, we want to hear from you! Join our team and gain valuable hands-on experience in the fast-paced world of human resources. Apply now to kickstart your career in recruitment at Happy Reliable Surgeries Private Limited!",0
Backend Development,Crossroads Helpline,Work from home,"₹ 15,000 /month",3 Months,"Are you a Backend Development whiz with skills in Node.js, Express.js, REST API, and MySQL? Crossroads Helpline is seeking a dynamic intern to join our team and help make a difference in the world!

Key responsibilities:
1. Work closely with our development team to design and implement backend solutions for our helpline platform.
2. Collaborate on the development of RESTful APIs to ensure seamless communication between the frontend and backend systems.
3. Utilize MySQL databases to store and retrieve data efficiently and securely.
4. Assist in troubleshooting and debugging backend issues to ensure optimal system performance.
5. Participate in code reviews and contribute to the continuous improvement of our development processes.
6. Stay up-to-date on industry best practices and technologies to enhance our backend capabilities.
7. Contribute ideas and solutions to innovate and enhance our helpline services for those in need.

If you are passionate about using your backend development skills to make a positive impact, apply now to join our team at Crossroads Helpline!",0
Graphic Design,The Little Biggest Design Company: LBDC,Delhi                                                                (Hybrid),"₹ 10,000 - 15,000 /month",6 Months,"Graphic designers play a crucial role in visual communication, translating ideas into compelling designs across various media. Their responsibilities encompass understanding client needs, conceptualizing creative solutions, and selecting appropriate colors, fonts, and imagery to convey messages effectively. 

Selected intern's day-to-day responsibilities include: 

1. Ensure consistency in branding, balancing aesthetics with functionality
2. Collaborate with clients and other professionals, incorporating feedback to refine designs
3. Stay updated on design trends, software, and techniques, ensuring high-quality, innovative outcomes
4. Adhere to ethical standards, respecting copyrights and intellectual property rights
5. Ultimately, their responsibility lies in crafting visually appealing, impactful designs that captivate audiences and fulfill the objectives of their clients",0
Social Media Marketing,Offbeat Marketing & Communication,Ahmedabad,"₹ 8,000 - 12,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Work with a well-seasoned team to whip out amazing and creative ideas for our client brands, by leveraging the power of social media, visual content ideation, and communication design
2. Plan, schedule, and manage the execution of marketing campaigns, shoots, designing, and more
3. Maintain communication channels at multiple levels, with internal teams as well as client teams.
4. Be a team player, maintain timelines, and coordinate reporting, while working closely with founders.
5. Great sense of humor is a total plus",0
Video Content Creator & Operations Manager,Anurag Verma,Gurgaon,"₹ 13,000 /month",1 Month,"Are you someone who loves being in front of the camera and also enjoys the behind-the-scenes action that makes video content come to life?

Selected intern's day-to-day responsibilities include:

1. Be the face of our short-form and long-form content, including UGC-style videos.
2. Participate in ideation and filming of high-performing social media content.
3. Assist in video shoot logistics, content planning, and daily operations to keep things running smoothly.

If you're creative, proactive, and ready to gain real experience in video production and content operations, this role is for you.",0
iOS App Development,MEDKARO (CUREEIT MEDICOS PRIVATE LIMITED),Work from home,"₹ 5,000 - 5,001 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Work on UIKit, SwiftUI, and Swift.
2. Perform migration from Dart to native iOS.
3. Work on REST APIs.",0
Unity Developer - Remote,Piyush Garg,Work from home,"₹ 5,000 - 20,000 /month",2 Months,"We're seeking a motivated unity developer intern to support team on short-term basis. You'll work remotely, collaborate with experienced developers, and contribute directly to active game projects.

Selected intern's day-to-day responsibilities include:

1. Develop, debug, and optimize game features in Unity (C#)
2. Assist with UI/UX implementation and asset integration
3. Collaborate to implement gameplay mechanics
4. Participate in code reviews
5. Document work and share progress regularly

Requirements:

1. Knowledge of Unity and C#
2. Basic understanding of mobile game development (iOS/Android)
3. Available to work remotely for the contract period

What we offer:

1. Flexible remote work
2. Mentorship and feedback from experienced devs
3. Real-world project experience
4. Competitive stipend",0
Lead Generation,IT Solutions Experts,Work from home,"₹ 2,000 - 26,000 /month",3 Months,"We are looking for enthusiastic and self-motivated Lead Generation Interns to support our sales and marketing team. This is a remote, performance-based internship ideal for candidates interested in gaining real-world experience in business development and B2B outreach.

Selected intern's day-to-day responsibilities include:

1. Research and identify potential B2B clients using LinkedIn, Google, and business directories
2. Collect and organize prospect data in Google Sheets or CRM tools
3. Draft and send personalized cold emails and LinkedIn messages to prospects
4. Follow up with leads and schedule introductory calls or demos for the sales team
5. Maintain and update records of communication and lead status
6. Collaborate with the sales team to optimize outreach strategies
7. Attend virtual meetings to discuss progress, challenges, and feedback

Who can apply:

1. Available to work from home for the duration of the internship
2. Strong communication and written skills
3. Basic understanding of LinkedIn, email tools, and spreadsheets
4. Interest in sales, marketing, or business development
5. Self-motivated and target-driven

Perks:

1. Certificate of completion
2. Letter of recommendation based on performance
3. Mentorship from experienced professionals
4. Flexible work hours
5. Performance-based incentives/commissions
6. Opportunity for a full-time role after internship",0
Graphic Design,CalciteX Cybernetics LLP,Work from home,"₹ 5,000 - 6,000 /month",1 Month,"Selected intern's day-to-day responsibilities include: 

1. Create a digital portfolio for clients
2. Develop on plug and play websites
3. Work on small motion graphic videos",0
Graphic Design,Spaceace Architects,"Delhi, Gurgaon","₹ 7,000 - 15,000 /month",6 Months,"Are you a creative and talented graphic design intern with an interest in design? Join our team at Spaceace Architects and take your skills to the next level! We are looking for someone who is proficient in Adobe Photoshop and has a keen eye for detail.

Selected intern's day-to-day responsibilities include:

1. Manage social media platforms
2. Design graphics and create content for posts
3. Handle other office graphic design work

If you are a motivated and creative individual looking to gain hands-on experience in the field of design, then we want to hear from you! Apply now and be a part of our innovative team at Spaceace Architects.",0
Content & Social Media Manager,Pixcelx,Lucknow,"₹ 6,000 - 12,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Content Creation:  Developing engaging content for various social media platforms.
2. Maintain content calendars (PixcelX + client brands).
3. Plan and schedule content.
4. Research trending reel ideas and sounds.
5. Write captions, hashtags, and story concepts.
6. Engage with DMs/comments when required.
7. Track insights and prepare performance reports.
8. Create reel covers, carousels, basic edits on Canva/CapCut.",0
3D Modeler,XRVisionLabs Private Limited,Work from home,"₹ 1,000 /month",2 Months,"We're looking for 3D Modelling Intern to assist in creating digital assets for AR/VR projects. You'll work on modelling, texturing, and basic animations. Success means delivering clean, optimized models ready for production. This role is ideal for those looking to build their portfolio and gain project experience.


Selected intern's day-to-day responsibilities include:

1. Create and optimize 3D models for AR/VR projects.
2. Apply UV mapping and textures.
3. Assist with simple animations .
4. Collaborate with the team and meet deadlines.
5. Revise work based on feedback.


Qualifications:

1. Proficiency in 3D modelling software (Blender, Maya, etc.).
2. Intermediate knowledge of texturing and UV mapping.
3. Familiarity with basic animation (a plus).",0
Business Development (Sales),RMB Logistic,"Ahmedabad, Surat, Mumbai","₹ 10,000 - 60,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Coordinate with suppliers, transporters, and internal teams to ensure timely deliveries.
2. Manage inventory and track shipments using logistics or ERP systems.
3. Prepare and maintain documentation such as invoices, delivery challans, and compliance reports.
4. Ensure warehouse safety, proper stock placement, and optimal space utilization.
5. Communicate effectively and solve problems to maintain operational efficiency.
6. Adhere to legal, safety, and quality standards to meet customer delivery expectations.
7. Help maintain operational efficiency and meet customer demands on time.",0
Graphic Design,Savitara Infotel,Ahmedabad,"₹ 5,000 - 7,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Design clean, brand-aligned visual content for digital platforms
2. Plot and label key landmarks on Google Maps
3. Assist in creating interactive map-based content
4. Support the marketing team with design-related tasks",0
IoT Product Development Manager,Innoway Technologies,Pune,"₹ 5,000 - 10,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Designing and developing IoT systems using SoCs with onboard WiFi and GPIO pins.
2. Interfacing sensors and actuators with the SoC for data acquisition and control.
3. Writing efficient, modular, and well-documented firmware/software for the prototype.
4. Testing hardware and software functionality in controlled environments.
5. Debugging issues related to connectivity, sensor readings, or system performance.
6. Installing prototypes at test sites for real-world evaluation.
7. Gathering performance data and user feedback to identify areas for improvement.
8. Implementing necessary modifications to hardware or software.
9. Maintaining detailed documentation of the development and testing process.
10. Preparing user manuals or technical guides as required.

Note: 

1. The deserving candidate will be offered a permanent position after successful completion of the internship based on their performance.",0
Software Testing,Plutonic Services Private Limited,Noida,"₹ 8,000 - 12,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Test the APIs/application as per the given specifications
2. Test the UI according to design and as per the given specifications
3. Work on daily reporting of the work status to the manager",0
Influencer Marketing,Ace Proton Communications & Digital Media Private Limited,Mumbai,"₹ 7,000 - 9,000 /month",6 Months,"As an Influencer Marketing intern, you will have the exciting opportunity to work with a team of creative professionals in the digital marketing field. Your responsibilities will include:

1. Identifying and cultivating relationships with relevant influencers in the industry.
2. Managing influencer outreach, negotiation, and campaign execution.
3. Monitoring and analyzing campaign performance metrics to optimize results.
4. Collaborating with the social media team to align influencer efforts with overall marketing initiatives.
5. Staying up-to-date on industry trends and best practices to ensure the success of influencer marketing efforts.

If you are passionate about digital marketing and have a strong proficiency in English (spoken and written) along with experience in Instagram marketing, we want to hear from you! Join us and gain valuable hands-on experience in the dynamic world of influencer marketing.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
Administration,Insite Properties,Mumbai,"₹ 25,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Assist in managing daily administrative tasks and office operations.
2. Maintain and organize records, files, and documents.
3. Work with Microsoft Office (Excel, Word, PowerPoint, Outlook) for data management and reporting.
4. Coordinate schedules, meetings, and communication across departments.
5. Handle email correspondence, phone calls, and basic office logistics.
6. Support vendor coordination, inventory management, and general office upkeep.
7. Ensure confidentiality and compliance with company policies.",0
Business Development (Sales),Happ Media Private Limited,Work from home,"₹ 12,000 - 15,000 /month",2 Months,"Selected intern's day-to-day responsibilities include:

1. Reach out to organizations using existing leads
2. Use LinkedIn to generate new leads
3. Follow-up with interested clients",0
Procreate Artist And Social Media Manager,HARSHITA KATIYAR,Noida                                                                (Hybrid),"₹ 2,000 /month",4 Months,"As a content and social media marketing intern at ARTWITHARSHITA, you will have the opportunity to enhance your skills in social media marketing, canva, digital art, digital illustration, and creating seamless patterns in Procreate software. Your creativity and passion for storytelling will be put to the test as you work on exciting projects for our company. I'm looking for a Procreate creative specialist to enhance our brand presence on Instagram, Pinterest, and Threads.

Selected intern's day-to-day responsibilities include:

1. Create seamless patterns and time-lapse videos content for social media using the Procreate Application
2. Create illustrations for Procreate and animate using Procreate Dreams software
3. Create engaging videos to boost brand awareness and drive engagement.
4. Develop and implement targeted social media strategies to promote course sales.
5. Collaborate with our team on campaign ideas and execution.
6. Create content for Instagram and cross post on other social media handles.
7. Monitor social media metrics to measure success and optimize performance.
8. Stay updated on social media trends and propose innovative content ideas.",0
Community Management,Startupvisors,Work from home,"₹ 2,500 - 5,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Conduct regular online research on startup-related topics, tools, and trends
2. Create and share engaging content for community members (tips, guides, updates)
3. Help maintain a positive and helpful environment within the community
4. Work closely with the team to identify valuable resources and insights for members",0
Human Resources (HR),Cling Info Tech Works (OPC) Private Limited,Ghaziabad                                                                (Hybrid),"₹ 2,000 - 5,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Assist with recruitment efforts, including sourcing, screening, and interviewing candidates.
2. Conduct orientation sessions for new hires and assist with onboarding processes.
3. Maintain employee records and ensure compliance with HR policies and procedures.
4. Assist with organizing training programs and workshops for employees.
5. Support the HR team with various administrative tasks and projects.
6. Help with drafting HR-related documents such as offer letters and employment contracts.
7. Collaborate with team members to create a positive and engaging work environment.",0
Video Editor,KOMAL MANE,Pune                                                                (Hybrid),"₹ 6,000 - 15,000 /month",6 Months,"Selected intern's day-to-day responsibilities include:

1. Work on both internal and client-facing video projects.
2. Create content for office videos, digital campaigns, promotions, and social media formats.
3. Edit raw footage by adding transitions, music, subtitles, and visual effects.
4. Adapt content for multiple platforms such as YouTube, Instagram, and Meta AdPro.
5. Ensure all video output aligns with brand guidelines and maintains a professional standard.
6. Collaborate with design, marketing, and client servicing teams for smooth execution.
7. Manage timelines effectively and deliver high-quality videos on deadline.
8. Accept and implement feedback as part of an iterative creative process.",0
Flutter Development,Glome,Work from home,"₹ 2,000 - 3,000 /month",3 Months,"Are you a creative and innovative software student looking for an exciting internship opportunity? Join GLOME, a cutting-edge technology company, as a Flutter development internship! 

Selected intern's day-to-day responsibilities include:

1. Collaborate with the Flutter development team to build visually appealing, responsive applications using Flutter and Dart, from wireframes to functional features. 
2. Dedicate approximately 4 hours per day actively coding, debugging, and testing app modules under guidance.
3. Assist in designing user-friendly UI/UX components, translating mockups into clean and intuitive app interfaces. 
4. Own feature development from concept through implementation, ensuring code quality and timely delivery.
5. Apply data structures and algorithms (DSA) to optimize performance and manage app data efficiently. 

If you have a strong understanding of flutter principles and a passion for creating impactful application, apply now to gain valuable experience and contribute to the success of Glome!",0
Web Application and Mobile Development,Pina Systems,Work from home,"₹ 5,000 - 7,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Develop the website/web application and/or mobile app.
2. Host it on our cloud server and set DNS records accordingly.
3. Configure the SSL certificate.
4. Test the site, web application, and/or mobile apps thoroughly on various devices.
5. Develop the custom web/mobile application using AI tools like Copilot or similar to it.",0
LinkedIn Job Posting,MediaCom India,Work from home,"₹ 4,000 /month",2 Months,"Selected intern's day-to-day responsibilities include: 

1. Post job openings on LinkedIn.
2. Monitor and track job applications.
3. Scrape and organize applicant data from LinkedIn job posts.
4. Maintain records of applications received.",0
Graphic Design,MAV Invites,Work from home,"₹ 2,000 - 5,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1.  Assist in creating premium invitation designs for weddings, housewarmings, naming ceremonies, and special events using Adobe Photoshop and Illustrator.
2.Help in designing cohesive multi-slide invitation sets for social media formats (Instagram Reels, WhatsApp, YouTube).
3.Prepare layered PSD files with organized elements for seamless animation in After Effects.
4. Explore design trends in luxury invitations and contribute creative ideas for new collections.
5. Organize and maintain design assets, ensuring files are optimized for various platforms.",0
N/A,N/A,N/A,N/A,N/A,N/A,0
Inside Sales,Push Sports,Delhi,"₹ 10,000 - 20,000 /month",6 Months,"We are looking for a motivated and enthusiastic sales intern to join our vibrant sales team. If you're passionate about sales, eager to learn, and ready to gain exposure to how a startup operates, this internship is the perfect opportunity for you. You'll have the chance to work closely with our experienced team, assist in driving sales, and support various key functions within the company while learning the ins and outs of our business. The ideal candidate will be proactive, adaptable, and eager to contribute to the growth of the company.

Selected intern's day-to-day responsibilities include:

1. Customer engagement: Assist in actively engaging with customers to understand their needs and recommend appropriate products/services. Support customer interactions through calls, emails, or in-person engagements, ensuring a positive experience.
2. Sales generation: Help the sales team meet monthly and quarterly sales targets. Contribute to achieving sales goals by assisting in lead follow-ups and nurturing customer relationships.
3. Customer support: Provide support in responding to post-sale customer inquiries and ensuring customer satisfaction. Assist in maintaining long-term customer relationships by offering timely follow-up.
4. Team collaboration: Collaborate with the sales team to meet collective goals and contribute to team success. Participate in team discussions and provide feedback to improve sales processes.
5. Reporting: Assist with tracking and reporting sales activities and performance. Help maintain and update customer data in the CRM system for accurate reporting.",0
Content and Social Media Marketing,EcoNest Ventures Private Limited,Bangalore,"₹ 7,000 - 15,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Create engaging content including reels, videos, and static posts
2. Plan and schedule content across Instagram, Facebook, and other platforms
3. Maintain a consistent posting calendar and ensure timely updates
4. Engage with the audience by responding to comments and messages
5. Track performance metrics like views, likes, and follower growth
6. Prepare weekly engagement reports with insights and suggestions
7. Stay updated with social media trends and recommend new ideas
8. Contribute creative ideas to grow brand visibility and audience reach
9. Assist in marketing campaigns or basic ad content when required",0
Business Development (Sales),Cohub India,Mumbai                                                                (Hybrid),"₹ 6,000 - 10,000 /month",3 Months,"Are you a fresher looking to kickstart your career in business development? We're looking for 2 passionate and enthusiastic interns to join our team as business development executives.

Selected intern's day-to-day responsibilities include:

1. Assist in daily business development activities
2. Client communication & coordination
3. Lead management & follow-ups
4. Support the team with data entry, CRM updates, and research tasks

Who can apply?

1. Freshers looking to begin their professional journey
2. Good communication skills (written & spoken)
3. Basic computer knowledge (Excel, Google Sheets, etc.)
4. Good to have your laptop/PC and a stable Wi-Fi connection

Location: 501 A Raheja Plaza, Ghatkopar West, Mumbai

This internship can open doors to a long-term opportunity for the right candidate!",0
Founders Office,BetweenBreaks.in,Vishakhapatnam,"₹ 5,000 - 6,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Communicate with students to collect and maintain accurate data.
2. Coordinate with companies to manage and follow up on submissions.
3. Work on strategies to enhance and increase subscription numbers.",0
Content and Social Media Marketing,Preetu Muley,Mumbai,"₹ 7,500 - 10,000 /month",3 Months,"Selected intern's day-to-day responsibilities include:

1. Creating visually appealing graphics and videos using Canva and Adobe Photoshop.
2. Editing images and videos to enhance brand aesthetics.
3. Managing Instagram marketing campaigns to increase brand visibility and engagement.
4. Creating and editing YouTube ads to reach a wider audience.
5. Writing compelling content for social media posts and blog articles.
6. Collaborating with the team to develop creative marketing strategies.
7. Analyzing social media metrics to track performance and optimize future campaigns.",0
Digital Marketing,4X4 Advisory,Noida                                                                (Hybrid),"₹ 8,000 - 12,000 /month",6 Months,"Selected intern's day-to-day responsibilities include: 

1. Assist in planning and executing marketing campaigns across digital and offline channels.
2. Support the development of brand content, including social media posts, newsletters, presentations, and blogs.
3. Help maintain brand guidelines across internal and external touchpoints.
4. Coordinate with internal teams and external vendors for campaign and event execution.
5. Monitor media coverage, social media engagement, and marketing KPIs.
6. Assist in organizing events, webinars, and brand activations.
7. Conduct market and competitor research to support branding strategy.
8. Create internal communications content (emails, intranet articles, employee engagement posts).",0
Human Resources (HR),Quick Digital Technologies Private Limited,Bangalore,"₹ 9,000 - 12,000 /month",3 Months,"Selected intern's day-to-day responsibilities include: 

1. Screen candidate profiles and shortlist suitable applicants.
2. Schedule and coordinate interviews with candidates and interviewers.
3. Collect required documents and issue offer letters.
4. Conduct onboarding and induction, including tools, portals, and asset allocation.
5. Perform background verification (BGV) checks.
6. Drive employee engagement initiatives and ensure welfare activities.
7. Address and resolve employee grievances professionally and effectively.",0
