Title,Description,IS_Scam
Digital Marketing,"Are you a digital marketing enthusiast looking to gain hands-on experience in the field? We are looking for a dynamic Digital Marketing intern to join our team at Babde Private Limited. If you have a strong understanding of digital marketing strategies, social media marketing, and excellent written and spoken English skills, this is the perfect opportunity for you!

Key Responsibilities:
1. Assist in developing and implementing digital marketing campaigns across various platforms.
2. Create engaging content for social media channels to increase brand awareness and drive traffic.
3. Monitor and analyze the performance of campaigns, providing insights and recommendations for improvement.
4. Collaborate with the team to brainstorm new ideas and strategies for digital marketing initiatives.
5. Support in managing and updating the company's website and other digital assets.
6. Stay up-to-date on the latest trends and best practices in digital marketing.
7. Assist in other marketing activities and tasks as needed.

If you are a self-motivated individual with a passion for digital marketing, apply now to kickstart your career with us!",0
Part Time Students Or Workers Required.,"Part Time Students Or Workers Required.You can do it all from home, in your free time, at your own place.Spend 30 minutes or 1 hours a day &amp; Get biggest cash.You can work in the morning, afternoon, or at night.Perfect for everyone then start immediately.Can earn $450 to $500 extra per day.No any experience required.Zero start-up fee, Visit here:-#URL_7ebe37f71633be1b80547d6f213cb0075a63b6ced35281bfa5c067b5c685f04c#-rg.info",1
Home Based Payroll Typist/Data Entry Clerks Positions Available,"We have several openings available in this area earning $1000.00-$2500.00 per week. We are seeking only honest, self-motivated people with a desire to work in the home typing and data entry field, from the comfort of their own homes.The preferred applicants should be at least 18 years old with Internet access. No experience is needed. However the following skills are desirable:  ",1
Web App Development,"Selected intern's day-to-day responsibilities include:

1. Develop Vue.js themes and UI components, creating responsive, high-quality layouts with clean, reusable code. 
2. Write custom JavaScript logic, implementing interactive features, API calls, and dynamic behaviors across the platform.
3. Maintain and enhance Vue.js applications, fixing bugs, performing performance optimizations, and ensuring code stability.
4. Integrate UI with backend services, collaborating with backend developers to consume RESTful APIs and synchronize data.
5. Join code reviews and team discussions, actively contributing feedback and staying current with Vue.js ecosystem updates and best practices.",0
Administrative/Receptionist - $19.25/hr,   Normal  0   ADMINITRATIVE ASSISTANT This is an entry-level full position - work hours are 8:30-5pm (Mon-Fri) Partner with co-president's assistant to provide administrative leverage to the co-presidents office. Acts as gatekeeper while building/maintaining relationships internally and externally across all levels. Responsible for managing a busy calendar and scheduling travel schedule.,1
Sales Professional- SMB Division ,"- Maintain a high level of Clearmark solution expertise and competitive intelligence- Guide team members to identify decision makers amongst the targeted leads in order to initiate the sales process.- Provide compelling product demos via the phone along-side the dedicated Account Executive; emphasizing service features and benefits, discussing contract terms, quoting prices, and preparing sales orders- Work with individual Account Executives to develop sales plans in order to maximize revenues- Ensure that accurate and complete information is submitted in CRM- Provide regular updates to management regarding opportunities, trends and challenges- Lead sales team to meet and/or exceed monthly and quarterly quota objectives- Support Recruitment and Human Resource functions including: interviewing, hiring, and termination recommendations- Collaborate with Corporate Sales Trainer on employee development- Establish and maintain department procedures; provide feedback, make suggestions to management- Act as first line of contact for management involvement on high-profile issues- Maintain effective communication across key departments and senior leadership team- Represent yourself and Clearmark in a highly professional manner",1
College Representative (Marketing),"We are seeking a dynamic and enthusiastic WhatsApp marketing intern to join our team at Tripple One Solutions. As an intern, you will have the opportunity to work closely with our marketing team to develop and implement innovative strategies to drive engagement and conversions through WhatsApp.

Selected intern's day-to-day responsibilities include:

1. Assist in developing and executing WhatsApp marketing campaigns to promote our products and services.
2. Monitor and analyze the performance of campaigns, providing insights and recommendations for optimization.
3. Collaborate with the creative team to create compelling content for WhatsApp messaging.
4. Engage with customers and prospects through personalized WhatsApp messages to build relationships and drive sales.
5. Research and stay up-to-date on the latest trends and best practices in WhatsApp marketing.
6. Assist in managing and growing our subscriber list through targeted acquisition strategies.
7. Provide support to the marketing team on various projects and initiatives as needed.

If you are passionate about marketing and eager to gain hands-on experience in WhatsApp marketing, we want to hear from you! Join us at Tripple One Solutions and help us take our marketing efforts to the next level. Apply now and be a part of our dynamic team.",0
Medical Surgical RN ,"Find more jobs at #URL_1efb08d6a6da1c56afb2d0c686e1ed0dc14d0fbcb22482369e8a69999aa0d278#Apply using below link #URL_ea09eee4c746f00c6399c69abe8c5a28f6317c6c7bf3d09a494afe9d20f7f56a#Med Surg RN (per diem) -- Las Vegas, NVRequirements: Requirements: 2 - year minimum acute experience in a hospital setting. We're eager to fill positions immediately, please apply ASAP. Active Nevada State RN license.12 hour day/night shifts available, 12 - 48 hours per week***Guaranteed HoursAdvantages of Per Diem Nursing:• Make extra money, depending on their commitment, which is the main advantage. • Pick your own schedules based on your commitment.• 24 hours a week, 36 hours a week - one weekend a month and one holiday a year - these are the nurses making the big bucks, while providing sorely needed coverage.• In most cases staff nurses must work every other weekend, two holidays and can't necessarily pick their schedules.• Nothing can match the flexibility that comes with per diem shifts. Higher PayPer Diem shifts are paid at a higher rate. The flexibility to pick up shifts as needed, combined with higher wages allows you to maximize your earning potential.Bachelor's Degree or Associates Degree in Nursing is requiredMust possess U.S. hospital experience; recent specialty experience within 1 year.Active American Heart Association BLS, ACLS cardWeekly pay rates will be discussed by Recruiter***Please Note: If you are proactively looking for an opportunity, or would like to view our MANY openings, you may follow the link and instructions below to create your profile:To inquire, please contact:",1
Business Analytics,"As a business analytics intern at CollegeTips Ed Tech Media Private Limited, you will have the exciting opportunity to gain hands-on experience in analyzing data and providing insights to drive business decisions. Your role will be crucial in helping us optimize our operations and improve our services for college students.

Selected intern's day-to-day responsibilities include:

1. Assist in collecting, organizing, and analyzing data using MS Excel.
2. Develop reports and dashboards to present key metrics and trends.
3. Conduct market research and competitor analysis to identify opportunities.
4. Collaborate with cross-functional teams to understand business needs.
5. Assist in developing strategies to improve user engagement and retention.
6. Support in optimizing marketing campaigns based on data-driven insights.
7. Take part in ad hoc projects and tasks related to business analytics and operations.

If you are a proactive and detail-oriented individual with a passion for data analysis and Excel, this internship will provide you with valuable skills and experiences to jumpstart your career in the field of business analytics. Join us in shaping the future of education technology!",0
Data Specialist,"Selected intern's day-to-day responsibilities include: 

1. Accurately enter data into company databases, spreadsheets, and software systems.
2. Verify and update existing data, ensuring all records are current and error-free.
Review and correct data discrepancies or errors.
3. Maintain confidentiality and handle sensitive information with discretion.
4. Organize and categorize information in a clear and accessible manner.
5. Ensure data integrity and accuracy by performing routine quality checks.
6. Assist with data analysis and report generation when necessary.
7. Collaborate with other team members to ensure data is consistent across all platforms.
8. Meet deadlines and performance targets for data entry speed and accuracy.",0
Data Center Migration App Lead for FULL-TIME Opportunity.,"Data Center Migration Application Lead / Architect – must have prior large data center and applications migrations experience10-15 Years of Experience / 10+Years of experience in infrastructure /data center /application migrationKnowledgeable of Tools required (e.g. Platespin, BMC ADDM etc.) to support data gathering and migration• The Migration Lead Engineer must be experienced and proficient in producing complex migration strategies and supporting artifacts including requirements discovery and analysis. The formulation of solution context, identification of solution alternatives and their assessment, technology selection, and final Execution plans.",1
We need 25 Agents growing company-See below,"We have the demand. We are looking for people that are quick learners, and are very efficient, to handle the demand. We have the best mortgage protection program in the business, and we have serious demand nationwide; especially in the 703/202/301 area. After all, we are in a market where 95% of all Americans, if they added up all the insurances that they hold, would not have enough to cover their mortgage. Can you imagine a product that everybody NEEDS (not just wants), and all you have to do is meet with people that have already requested our service. No Cold Calling or Door Knocking! We are looking for someone that is very professional and is able to learn quickly, because you can't make six figures in a year by moving slowly. We will train you in every aspect of the business, and will show you how to personally produce a monthly commission of at least 7,000-10,000. We have the tools, and we are looking to bring on someone that we can groom into management. You will learn this business, and eventually we plan to teach you how to build a strong staff, that you will train to move product the same way that you do. This combination should easily push you into a yearly compensation of 150k+ within your first 3 years in the business if you move at a steady pace. Industry experience is not necessary, but a track record of success is. Our company mails out over 1.5 million letters each week and our homeowners fill out a questionnaire and mail back the request for coverage to us. We simply call that exclusive lead and set up an appointment with them. We meet the customer in their home and go over what type of mortgage protection the homeowner needs and then write up the policy. We also market and promote fixed indexed annuities that solve most of the baby boomers retirement issues. We have many full time agents making over 6 and 7 figure incomes! We are primarily looking for those that desire to move into management, though, if you are looking for part time or full time warm sales, please send your resume as well. We have a serious demand all over the 703/202/301 area that consistently outweighs our number of agents. Typically our employees make 30k+ part time, 75-100k full time, 100k+ Management. Though, we design a specific plan to make sure you hit whatever compensation YOU seriously desire, and are willing to work for. What we are looking for: * A passion to honestly help families. * Positive attitude with a strong desire to become wealthy. * A person who can follow a step by step selling system. What we are not looking for: *Someone who isn't accountable to their word. *Someone who says they are a great salesman, but doesn't have a penny to their name. *Someone who has had a recent foreclosure or bankruptcy (you can't get licensed in those cases) We need you and you need us. Contact us with your resume (preferred), or call the Hiring Manager  with your information for possible interview.•    Compensation: 30k+ part time, 75-100k full time, 100k+ Management",1
Forward Cap.,The group has raised a fund for the purchase of homes in the Southeast. The student on this project will help them build their investments from the ground up and will help with the analysis and modeling of their investments.  We should be looking for someone with a strong general finance skills and has a lot of entrepreneurial ability.,1
Administrative Specialist II  ,"Find more jobs at #URL_4708e598004bb0a85bf09f9eecc0a8f1fdc0f496e68deb05ee2432ff63e13767#Apply using below link#URL_9a16a226eac5f8864ed8c843da4d249980a67b0a20c99831770a64171929e08c#Administrative Specialist II at Thomson-Hood Veterans Center, a state owned long-term, 285 bed, nursing care facility for Kentucky's Veterans and is located in Jessamine County.Responsible for administration of daily financial transactions of the THVC residents, including check cashing, deposits &amp; processing resident's orders. Maintain resident personal funds accounts. Reconcile resident's check accounts, open new accounts for residents, including arranging for direct deposit. Handle billings for expenses incurred by residents and fiduciary mailings. Collect and account for daily meal ticket sales and gift shop sales. Allocate cash and prepare facility deposits; make daily trips to facility bank to make these deposits. Maintain records of accounting documents generated by or for residents and gift shop. Prepare correspondence on trust deposits and other correspondence as necessary. Assist other personnel with time sensitive duties. You may contact Michael Horton at 1-, #URL_b623f73962795b85c1e0b43d7ab798b3ce53ac9283086d1fce10a6ec044e2d02#Submit applications online at: #URL_3e21033d374d1a705d87b2d5d5f5cef999246dc901c5b12fbcc1f703a13fc492#  Apply to req # 32506BR",1
Graphic Design,"Are you a creative individual with a passion for graphic design and video editing? Sorted.inc is seeking a talented graphic design intern to join our dynamic team! As an intern, you will have the opportunity to work with industry professionals, enhance your skills, and gain valuable hands-on experience in a fast-paced environment.

Selected intern's day-to-day responsibilities include:

1. Collaborate with the design team to create engaging visual content for social media, website, and marketing materials.
2. Assist in the production of videos, including editing footage, adding music, and creating animations.
3. Use Adobe Photoshop and Illustrator to design graphics, logos, and other visual elements.
4. Contribute innovative ideas and concepts to enhance the company's brand image.
5. Maintain organized files and assets, ensuring all designs are easily accessible for future projects.
6. Stay up-to-date with current design trends and techniques to consistently produce high-quality work.
7. Take on additional tasks and projects as needed to support the team and company goals.

If you are a motivated self-starter with a strong eye for detail and a desire to learn and grow in the field of graphic design, we want to hear from you! Join Sorted.inc and unleash your creativity today. Apply now!",0
Field Sales,"Selected intern's day-to-day responsibilities include:

1. Lead qualification: Identify and qualify potential clients based on their needs and buying intent.
2. Market research: Dive into market trends, analyze client behavior, and support sales strategies.
3. Sales support: Help prepare compelling property presentations, proposals, and brochures.
4. Client communication: Draft engaging emails and communication materials for prospective clients.
5. CRM management: Keep our CRM system organized with accurate client data and interactions.
6. Sales documentation: Assist with contracts, agreements, and key sales documentation.
7. Market insights: Track competitor activities and customer preferences to shape sales strategies.
8. Lead nurturing: Build strong relationships with potential clients through follow-ups and personalized outreach.
9. Team collaboration: Work closely with the sales team to develop and deliver effective client solutions.
10. Learning & growth: Participate in training sessions to master the pre-sales process and real estate industry insights.",0
Web Development,"Selected intern's day-to-day responsibilities include:

1. Work on designing, recommending, and pitching improvements for new and existing features
2. Assist in troubleshooting issues on web-based systems
3. Work on providing technical support related to web-based systems to internal teams",0
Business Development (Sales),"We are excited to offer an excellent opportunity for a passionate and ambitious Business Development Executive Intern to join our team at QuantaPixel Software Solutions. If you have strong communication skills, a strategic mindset, and a keen interest in sales, marketing, and client relationship building, this role will provide you with real-world experience in a dynamic and fast-growing IT company.

Selected intern's day-to-day responsibilities include:

1. Identify potential leads and business opportunities through market research, online platforms, and client outreach.
2. Assist in developing and executing sales strategies to promote web development, app development, and digital marketing services.
3. Communicate with prospective clients via email, phone calls, and meetings to understand their requirements and present suitable solutions.
4. Prepare proposals, presentations, and quotations in collaboration with the technical team.
5. Maintain CRM records and track the sales pipeline and follow-ups efficiently.
6. Support marketing campaigns, including social media, email outreach, and lead generation strategies.
7. Collaborate with cross-functional teams to ensure client satisfaction and successful project delivery.
8. Stay updated on industry trends, competitor activities, and market changes to adapt strategies accordingly.

Who can apply:

1. Pursuing or recently completed a degree in Business Administration, Marketing, or a related field.
2. Strong verbal and written communication skills.
3. Self-motivated, goal-oriented, and eager to learn.
4. Proficiency in MS Office and basic understanding of digital tools and platforms.
5. Prior internship or freelance experience in sales or marketing is a plus.

What You'll Gain:

1. Practical exposure to B2B business development and IT service sales.
2. Hands-on experience working with a results-driven and collaborative team.
3. Internship certificate and performance-based Letter of Recommendation.
4. Opportunity for full-time placement based on performance.
5. Ready to Take the First Step?
6. If you're passionate about business development and looking to build a meaningful career in the tech industry, we want to hear from you! Apply now and grow with QuantaPixel Software Solutions.",0
IT Recruiter,"Selected intern's day-to-day responsibilities include: 

1. Partner with hiring managers to define role requirements, hiring strategy, and job descriptions for IT and technical positions.
2. Source, screen, and assess candidates for a variety of roles.
3. Manage full recruitment lifecycle, including sourcing, interviewing, selection, offer negotiation, and onboarding coordination.
4. Utilize platforms such as LinkedIn, job boards, and internal databases to attract and engage candidates.
5. Build and maintain a talent pipeline through networking, referrals, and proactive outreach.
6. Ensure a positive candidate experience through timely communication and professional engagement.
7. Maintain accurate and up-to-date records in our applicant tracking system (ATS).
8. Stay updated on IT hiring trends, tools, and best practices to continuously improve recruitment processes.",0
Cruise Staff Wanted *URGENT*,"6* Ultra Luxury American Cruise Company is urgently looking for the following positions:*Hospitality - For the many Bars &amp; Restaurants on board.*Retail - For the Duty FREE Shops &amp; Boutiques on board.*housekeeping - For the Housekeeping &amp; Cleaning jobs.*Office Admin - For the Front desk &amp; Tour booking jobs*Other Positions - DJ's, Security Staff, Photographers &amp; Nannies.Vessel type or operation: 6* Ultra Luxury Cruise.Certification &amp; Experience: Previous experience (not Required)Good English speaker, Some Customer Service Skills, wanting to learn &amp; work.Job Type: Perm.Sailing Area: World wide.Benefits: On board en suite accommodation and food, Medical cover for duration of contract, world work visa, free wifi, TAX FREE Salary &amp; more!Job Description:A 6* Ultra Luxury Cruise Company are looking to recruit hardworking, enthusiastic cruise personal. This exciting opportunity is available to candidates who are willing to Learn, work &amp; are flexible.Candidate will also have Some Customer Service Skills, skills in Public Relations and are Good English speakers. Rotation is 4 months on 2 months off. Great Salary in Euros (TAX FREE) Pay is discussed via communication after full application proccess.If you are looking for a new adventure.. APPLY TODAY!Please send your resume to: #EMAIL_6e824a2834da27298c6d199e4d1829b32ca54fc0bacb0acf6d748f04fc69953b# (coppy &amp; paste this e-mail address)We will contact you shortly after within 24 hours.Looking forward to have you Aboard.Adrian WestDept. Rec.",1
Social Media Management,"Selected intern's day-to-day responsibilities include: 

1. Create and curate engaging content for our social media platforms
2. Monitor and respond to comments and messages from our online community
3. Collaborate with our team to develop and implement social media strategies
4. Analyze social media metrics to track performance and identify areas for improvement
5. Stay up-to-date on the latest trends and best practices in social media marketing
6. Assist with scheduling and publishing posts across various platforms
7. Contribute to brainstorming sessions for new content ideas and campaigns",0
Technician Instrument & Controls,"Technician Instrument &amp; ControlsLocation Deweyville, TXCategory: MaintenanceType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS- Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.- Maintain complete equipment files, logs, and drawings for all designated equipment.- Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.- Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.- Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.- Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.- Maintain all plant instrumentation and electrical test equipment.- Fully support and participate in NAES Safety and Regulatory Compliance Programs.- Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:- The planning and review of the preventative, predictive and pro-active type maintenance.- A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.- Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.- Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.",1
Lead Generation,"Are you a go-getter with excellent communication skills and connections? Join us as a lead generation intern at Tripple One Solutions! As a key member of our team, you will have the opportunity to hone your spoken and written English proficiency while gaining valuable experience in generating leads for our business.

Selected intern's day-to-day responsibilities include: 

1. Conduct research to identify potential leads in target markets.
2. Reach out to prospects via phone calls, emails, and social media to introduce our services.
3. Qualify leads based on specific criteria to ensure they align with our offerings.
4. Collaborate with the sales team to schedule meetings and follow up on leads.
5. Maintain accurate records of lead interactions in our CRM system.
6. Assist in creating and optimizing lead generation strategies.
7. Provide feedback on lead quality and campaign performance for continuous improvement.

Ready to kickstart your career in lead generation? Apply now and be part of our dynamic team at Tripple One Solutions!",0
Graphic Design,"Hiring for Zion, a fast-growing performance sports brand based in Mumbai. We build  pickleball courts, manufacture our own line of  performance paddles, and organize events to grow the sport's community. Every post, every design, every brand touchpoint is intentional     and you'll be helping shape that.

Selected intern's day-to-day responsibilities include:

1. Design execution:  Create clean, consistent creatives for Instagram posts, carousels, reels covers, and mailers using tools like Canva or Adobe Suite.
2. Content support:  Work closely with the founder and content team to bring campaign ideas to life     visually and strategically.
3. Trend scanning:  Keep an eye on what's working across Instagram and help adapt it for Zion     without copying.
4. Brand consistency:  Ensure all designs match the tone, colors, and language of Zion across every platform.

What's in it for you:

1. Learn how digital marketing works from the inside     not theory, actual execution
2. Build real content for a growing, performance-first sports brand
3. Learn how to balance design, speed, and brand clarity",0
Office/Personal Assistant (15-20 hours per week),"Currently seeking an Office Assistant for our home office on a casual part time basis. This job involves personal and office assistance. Ideally, we are seeking someone who has previous experience in an administrative and/or assistant role. ",1
Media & Public Relations (PR),"Selected intern's day-to-day responsibilities include: 

1. Creating engaging content for media releases, social media platforms, and newsletters
2. Updating and maintaining the company's social media pages
3. Building relationships with clients and potential clients, suppliers, and the media
4. Assisting the PR manager with the scheduling and organizing of events
5. Working on giving input on marketing initiatives and suggesting creative ways to improve the company's public image
6. Conducting research on the marketing initiatives of the company's competitors
7. Handling operations/work of the company's ongoing projects",0
Sales associate Home Security,"Sales (inside/outside)Data compilation of prospective sales leads. These leads usually come from various sources that we provide and those such as business directories, prospecting, and web sites to name a few. Sales persons typically travel regularly throughout their assigned territories to call on prospects and their accounts or work in a telemarketing role in inside sales.Through the use of displays and product samples the sales person focuses on the marketable aspect of the home security and telecommunications industry. They provide quotes, give the client the terms of credit and make installation preparation. Often times they work with the inside sales team and telemarketing group to make sure that account activities, and customer service related details are being taken care of. They help coordinate customer training, and the entry of customer data into the client relationship database.Applicant will assist in generating sales of products and data.Applicants should be aware of the booming home security industry and be willing to help protect our potential clients with our services as well as be timely and punctual for daily meeting and training.",1
Video Editing/Making,"Selected intern's day-to-day responsibilities include:

1. Create and edit short-form videos (reels, TikToks, YouTube shorts)   assemble raw footage, add transitions, music, text overlays, and effects using tools like Adobe Premiere Pro, Final Cut Pro, or CapCut 
2. Stay on top of short-form video trends, incorporating popular formats, sounds, and aesthetics to produce engaging and up-to-date content 
3. Collaborate with the creative team   brainstorm and develop concepts that align with brand messaging and drive audience engagement",0
"Engineering Senior Supervisor, Livonia, MI","Responsible for leading a small team of engineers focused on the design and development of A-surface (in mold decorative, paint laser and etch) design and development projects. Provide technical expertise on surface decorating industry trends, customer styling and how it applies to products. Participate in customer presentations and design reviews. Manage technical materials requests. Propose materials (resins and lubricants) for BCS applications and set up of global surface, resin, and lubrication specifications. Evaluate applications for cost effective polymers and additives. Support the Global VAVE team in identifying alternate cost effective material recommendations. Consult with resin suppliers for VAVE alternatives. Research cost effective resins supplier’s for their automotive approvals and assist with information for approval of resins.",1
Search Engine Optimization (SEO),"Selected intern's day-to-day responsibilities include:

1. Assist with keyword research using tools like Google Keyword Planner
2. Update website content to include relevant and targeted keywords
3. Support on-page SEO tasks such as editing meta titles, descriptions, and headers
4. Learn and contribute to off-page SEO by identifying backlink opportunities
5. Use tools like Google Search Console to monitor and report basic site issues
6. Track keyword rankings and traffic data to support SEO reporting
7. Stay informed about the latest SEO trends and Google updates
8. Assist in competitor analysis and brainstorming SEO-friendly content ideas",0
Content and Social Media Marketing,"Are you a creative and tech-savvy individual with a passion for content creation and social media marketing? Look no further! MechanicPro company is seeking a dynamic Content and Social Media Marketing intern to join our team. 

As an intern with us, you will have the opportunity to showcase your skills in videography, video making, and content editing while gaining valuable experience in the digital marketing industry. 

Selected intern's day-to-day responsibilities include:

1. Creating engaging and compelling video content for social media platforms 
2. Developing and implementing social media marketing strategies to increase brand awareness 
3. Collaborating with the marketing team to brainstorm and execute creative campaigns 
4. Monitoring and analyzing social media performance metrics to optimize content 
5. Assisting with content creation for various digital channels, including blogs and newsletters 
6. Staying up-to-date on industry trends and best practices in social media marketing 
7. Contributing fresh ideas and innovative approaches to enhance our online presence 

If you are a self-starter with a keen eye for detail and a passion for storytelling, we want to hear from you! Join us at MechanicProcompany and take the first step towards a rewarding career in digital marketing. Apply now!",0
Assistant Accountant for immediate start,"A active and dynamic recruitment company, seeking a Assistant Accountant. We are looking for communicative and motivated employees for immediate start. Only excellent candidates need apply as this is a permanent position with the for significant promising career. Optical Training will be provided, but you must be eager to learn and have the ability to work effectively in a our environment from your first day.",1
Video Editing/Making,"We are seeking a talented video editing expert who possesses advanced skills in utilizing the latest AI tools to create engaging short marketing videos. The ideal candidate should have a keen eye for detail, creativity, and proficiency in editing software.

Selected intern's day-to-day responsibilities include: 

1. Collaborate with the marketing team to understand project requirements and objectives.
2. Utilize cutting-edge AI tools to enhance video content and create captivating marketing videos.
3. Edit raw footage, adding effects, transitions, graphics, and sound to produce high-quality videos.
4. Ensure videos align with brand guidelines and maintain consistency in style and tone.
5. Optimize videos for various platforms, including social media channels, websites, and presentations.
6. Stay updated on industry trends and emerging technologies to incorporate innovative techniques into video editing processes.
7. Manage multiple projects simultaneously and adhere to deadlines.
8. Provide constructive feedback and contribute to brainstorming sessions for creative ideas.",0
Fundraising,"As a fundraising intern at Pawzz, you will have the exciting opportunity to contribute to our mission of helping furry friends in need. With your English proficiency, digital marketing skills, and knowledge of economics, you will play a crucial role in expanding our fundraising efforts and growing our impact. 

Selected intern's day-to-day responsibilities include:

1. Assist in developing and implementing fundraising campaigns to drive donations and support for our cause
2. Utilize social media platforms and Instagram marketing to increase brand awareness and engage our audience
3. Collaborate with the sales team to identify potential donors and sponsors for partnership opportunities
4. Conduct business analysis to assess fundraising performance and identify areas for improvement
5. Work closely with the marketing team to create engaging content for fundraising initiatives
6. Research and stay up to date on fundraising trends and best practices in the industry
7. Provide support in organizing fundraising events and activities to raise funds for our organization",0
Content Writing,"Selected intern's day-to-day responsibilities include:

1. Experience in market and customer research as well as in the creation of sales-focused advertising texts and texts for print, digital and social media
2. Creativity and a strong sense of language. You create user-oriented and SEO-optimized content in english for our online sales channels.
3. You will take care of keyword analyses, research and translations so that our customers receive channel-specific and attractive content.
4. Work on SEO-based writing with provided keywords & duplicate and error check processes in place
5. Write travel blogs and FAQs for city-specific pages
6. Write about the best way to explore those places
7. Work on writing transportation FAQs about various cities in the EU and North American cities",0
UI/UX Design,"We are looking for a talented and creative UI/UX design intern to join our team at ADmyBRAND.com! As an intern, you will have the opportunity to work on exciting projects and gain valuable experience in the field of UI/UX design. If you are passionate about creating beautiful and user-friendly designs, and have a strong knowledge of Figma, UI & UX design, wireframing, and user interface (UI) development, we want to hear from you!

KSelected intern's day-to-day responsibilities include:

1. Collaborate with our design team to create visually appealing and functional UI/UX designs for our website and mobile app.
2. Use Figma to create wireframes, prototypes, and mockups to bring our design vision to life.
3. Conduct user research and testing to gather feedback and make data-driven design decisions.
4. Work closely with our developers to ensure that designs are implemented accurately and efficiently.
5. Stay up-to-date on the latest design trends and best practices in UI/UX design.
6. Assist with creating design assets and documentation for our marketing and branding efforts.
7. Provide feedback and support to other team members to help improve overall design quality and consistency.

If you are a motivated and detail-oriented designer with a passion for creating exceptional user experiences, apply now to join our team!",0
Cybersecurity Outreach & Digital Relations Manager,"Selected intern's day-to-day responsibilities include:

1. Work with the outreach team in initiating professional conversations with business leaders
2. Support in organizing services/product discussions and follow-ups
3. Coordinate basic digital communication tasks and report weekly progress",0
Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you",1
Media & Public Relations (PR),"Selected intern's day-to-day responsibilities include:

1. Serving as the primary point of contact for assigned clients, understanding their PR needs and objectives
2. Developing and executing strategic PR plans to meet client goals and enhance their brand presence
3. Regularly updating clients on campaign progress and providing actionable insights
4. Helping organizes media events, press conferences, and brand promotions
5. Building relationships with media professionals and industry stakeholders
6. Drafting and sending emails effectively to clients and media contacts",0
Graphite Expert (Remote Position),"Position: Graphite ExpertLocation: San Francisco, CADuration: 3 months contractWe have an urgent need for a Graphite expert Should be able to setup a highly scalable graphite environment. ",1
